TM Market Name,Weekend Name,Tough Mudder Event Name,Event Year,Adjusted Start Date,Start Date/Time,End Date/Time,Tough Mudder Venue: Tough Mudder Venue Name,Tough Mudder Venue: Venue Address 1,Tough Mudder Venue: Venue Address 2,Tough Mudder Venue: Venue City,Tough Mudder Venue: Venue State,Tough Mudder Venue: Venue Postal Code,Tough Mudder Venue: Venue Country,TM5K,TMH,TMF,TRM,RTM,TMX
Twin Cities,Twin Cities 2018,Tough Mudder Twin Cities 2018,2018,7/14/18,7/14/18 3:00,7/16/18 2:59,Wild Wings Oneka,8349 147th St.,,Hugo,MN,55038,US,Yes,Yes,Yes,Yes,,
Twin Cities,Twin Cities 2018,Tough Mudder X Twin Cities 2018,2018,7/15/18,7/15/18 3:00,7/16/18 2:59,Wild Wings Oneka,8349 147th St.,,Hugo,MN,55038,US,,,,,,Yes
Western New York,Western New York 2018,Tough Mudder Western New York 2018,2018,8/4/18,8/4/18 3:00,8/6/18 2:59,Tall Pines ATV Park,1812 Jones Rd.,,Andover,NY,14806,US,Yes,Yes,Yes,Yes,,
Hudson Valley,Hudson Valley 2018,Tough Mudder Hudson Valley 2018,2018,8/18/18,8/18/18 3:00,8/20/18 2:59,Winston Farm,119 Augusta Savage Rd.,,Saugerties,NY,12477,US,Yes,Yes,Yes,Yes,,
Chicago,Chicago 2018,Tough Mudder Chicago 2018,2018,8/25/18,8/25/18 3:00,8/27/18 2:59,Rockford International Airport,6100 Beltline Rd.,,Rockford,IL,61109,US,Yes,Yes,Yes,Yes,,
Missouri,Missouri 2018,Tough Mudder Missouri 2018,2018,8/11/18,8/11/18 3:00,8/13/18 2:59,Cedar Lakes Cellars,11008 Schreckengast Rd.,,Wright City,MO,63390,US,Yes,Yes,Yes,Yes,,
Pittsburgh,Pittsburgh 2018,Tough Mudder Pittsburgh 2018,2018,9/8/18,9/8/18 3:00,9/10/18 2:59,Coopers Lake Campground,205 Curie Rd.,,Slippery Rock,PA,16057,US,Yes,Yes,Yes,Yes,,
Wisconsin,Wisconsin 2018,Tough Mudder Wisconsin 2018,2018,9/8/18,9/8/18 3:00,9/10/18 2:59,Road America,N7390 State Highway 67,,Plymouth,WI,53073,US,Yes,Yes,Yes,Yes,,
Northeast,Northeast 2018,Tough Mudder Northeast 2018,2018,9/22/18,9/22/18 3:00,9/24/18 2:59,Gunstock Mountain,719 Cherry Valley Rd.,,Gilford,NH,3248,US,,Yes,Yes,Yes,,
Seattle,Seattle 2018,Tough Mudder Seattle 2018,2018,9/22/18,9/22/18 3:00,9/24/18 2:59,Palmer Coking Co.,31407 Hwy 169,,Black Diamond,WA,98010,US,Yes,Yes,Yes,Yes,,
Nashville,Nashville 2018,Tough Mudder Nashville 2018,2018,9/15/18,9/15/18 3:00,9/17/18 2:59,Neal Farms,1000 Murphy Lane,,Lebanon,TN,37090,US,Yes,Yes,Yes,Yes,,
Dallas/Ft. Worth,Dallas/Ft. Worth 2018,Tough Mudder Dallas/Ft. Worth 2018,2018,9/29/18,9/29/18 3:00,10/1/18 2:59,TexPlex Park,881 Miller Rd.,,Midlothian,TX,76065,US,Yes,Yes,Yes,Yes,,
NorCal,NorCal 2018,America's Toughest Mudder West - NorCal 2018,2018,10/7/18,10/7/18 3:00,10/8/18 2:59,Sonoma Raceway,29355 Arnold Dr.,,Sonoma,CA,95476,US,,,,,Yes,
NorCal,NorCal 2018,Tough Mudder NorCal 2018,2018,10/6/18,10/6/18 3:00,10/8/18 2:59,Sonoma Raceway,29355 Arnold Dr.,,Sonoma,CA,95476,US,Yes,Yes,Yes,Yes,,
Central Florida,Central Florida 2018,Tough Mudder Central Florida 2018,2018,10/13/18,10/13/18 3:00,10/15/18 2:59,Clear Springs Ranch,5020 Cox Rd.,,Bartow,FL,33830,US,Yes,Yes,Yes,Yes,,
Atlanta,Atlanta 2018,Tough Mudder Atlanta 2018,2018,10/20/18,10/20/18 3:00,10/22/18 2:59,Bouckaert Farms,8750 Campbellton Fairburn Road,,Fairburn,GA,30213,US,Yes,Yes,Yes,Yes,,
SoCal,SoCal 2018,Tough Mudder SoCal 2018,2018,11/3/18,11/3/18 3:00,11/5/18 2:59,Lake Elsinore Diamond,500 Diamond Dr.,,Lake Elsinore,CA,92530,US,Yes,Yes,Yes,Yes,,
Los Angeles,Los Angeles 2018,Tough Mudder Los Angeles 2018,2018,12/31/18,12/31/18 3:00,1/1/19 2:59,East Walker Ranch,16723 Placerita Canyon Rd,(No On-site Parking),Santa Clarita,CA,91321,US,Yes,Yes,Yes,Yes,,
Los Angeles,Los Angeles 2018,America's Toughest Mudder West - Los Angeles 2018,2018,12/31/18,12/31/18 3:00,1/1/19 2:59,East Walker Ranch,16723 Placerita Canyon Rd,(No On-site Parking),Santa Clarita,CA,91321,US,,,,,Yes,
